Technical Skills,Professional Certifications,Communication Skills,Grit,Work Habits,Employability
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Pass,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 2,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 2,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Pass,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Pass,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Pass,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 2,Work Habits - 4,Less Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
Technical Skills - Very Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Pass,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 3,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Less Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 5,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 3,Grit - 1,Work Habits - 3,Less Employable
Technical Skills - Fair,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 4,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 3,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 4,Grit - 1,Work Habits - 4,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 5,Grit - 2,Work Habits - 5,Employable
Technical Skills - Fair,Professional Certifications - 1,Communication Skills - 5,Grit - 1,Work Habits - 5,Underemployed
Technical Skills - Good,Professional Certifications - 2,Communication Skills - 4,Grit - 2,Work Habits - 4,Employable
